behrouz2022anomaly	2211.08378
bethany2024evaluating	2412.00586
cheng2024ctinexus	2410.21060
dai2022towards	2201.00232
daluwatta2022cgraph	2202.07883
edirimannage2022phishchain	2202.07882
fieblinger2024actionable	2407.02528
guo2025efficient	2501.06912
hao2020inductive	2007.08053
hassani2020contrastive	2006.05582
ho2021hopper	2105.13442
koide2024chatspamdetector	2402.18093
li2021siege	2106.10176
li2022pdgnn	2204.08194
li2025umgad	2411.12556
lo2021egraphsage	2103.16329
magnani2013combinatorial	1303.4986
nayebi2025spatiotemporal	2509.20339
pareja2020evolvegcn	1902.10191
park2020unsupervised	1911.06750
rossi2020temporal	2006.10637
singh2024node	2402.09711
song2025insight	2509.01509
tang2022rethinking	2205.15508
wang2019heterogeneous	1903.07293
wang2022tsgn	2208.12938
weber2019antimoney	1908.02591
xu2020inductive	2002.07962
yan2024topological	2310.04612
yu2023streaming	2306.16624
zhang2020gnnguard	2006.08149
zhang2021mcgc	2108.08456
zugner2019adversarial	1902.08412
abdelnabi2020visualphishnet	1909.00300
brown2025web	2410.23432
christophides2021overview	1905.06397
dou2020enhancing	2008.08692
fu2020magnn	2002.01680
li2022ttagn	2204.13442
liu2020alleviating	2005.00625
liu2021anomaly	2103.00113
stringhini2015thataint	1410.6629
wang2021selfsupervised	2105.09111
wang2023label	2302.10407
wu2020who	1911.09259
you2022roland	2208.07239
zhao2021graphsmote	2103.08826
arp2022dos	2010.09470
cai2021structural	2005.07427
cen2019representation	1905.01669
kumar2019predicting	1908.01207
sankar2020dysat	1812.09430
dewan2017facebook	1405.4820
gao2023alleviating	2401.14155
paranjape2017motifs	1612.09259
