config,p_cross,fabrication,contact_auc,mux_auc,shuf_auc,contact_r1,mux_r1,shuf_r1,fp_newsender_contact,fp_newsender_mux,contact_auc_sd,mux_auc_sd,shuf_auc_sd,contact_r1_sd,mux_r1_sd,shuf_r1_sd,fp_newsender_contact_sd,fp_newsender_mux_sd
default,0.5,0.0,0.697,0.875,0.505,0.0,0.0,0.008,1.0,0.0,0.011,0.011,0.014,0.0,0.0,0.007,0.0,0.0
low_cross,0.2,0.0,0.697,0.868,0.508,0.0,0.0,0.008,1.0,0.0,0.011,0.009,0.013,0.0,0.0,0.008,0.0,0.0
high_cross,0.8,0.0,0.697,0.877,0.503,0.0,0.0,0.008,1.0,0.0,0.011,0.009,0.023,0.0,0.0,0.011,0.0,0.0
fab20,0.5,0.2,0.697,0.823,0.555,0.0,0.0,0.015,1.0,0.0,0.011,0.015,0.02,0.0,0.0,0.014,0.0,0.0
fab50,0.5,0.5,0.697,0.739,0.667,0.0,0.0,0.03,1.0,0.098,0.011,0.018,0.016,0.0,0.0,0.018,0.0,0.042
